test_path,fit_path,hamming_dist
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0160.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0696.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0643.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1115.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0548.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0589.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1351.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(126).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0098.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0538.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m2 (93).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1423.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1421.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1423.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1422.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/image(75).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (8).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (282).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (281).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0260.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(104).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0260.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(272).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0260.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-noTr_0006.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0543.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m2 (98).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (129).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0578.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0504.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (553).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0106.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (751).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0106.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (753).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0106.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (752).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0018.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m (120).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0018.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0016.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (444).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0383.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (439).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (440).jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (439).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0377.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (439).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0379.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0226.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(149).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0226.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/image(39).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0226.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0047.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (641).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0582.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (641).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Te-pi_0020.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0622.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m3 (17).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0136.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0137.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0136.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m (65).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_1035.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Te-gl_0201.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(239).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0910.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0223.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0567.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0983.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0140.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1428.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1136.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0368.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0457.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0368.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m2 (1).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0368.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m2 (2).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/915.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/916.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(344).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0042.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(344).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(43).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(344).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0157.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(109).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0114.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(109).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/image.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(109).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0184.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0760.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0226.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0036.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1080.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1200.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1263.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0504.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(17).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0013.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(17).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image (58).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0223.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(311).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0802.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1194.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0304.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1258.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0500.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0752.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1890.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/2015.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0659.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0227.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0344.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(171).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0165.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0148.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0690.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(238).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1104.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0965.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1082.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0215.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0505.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1048.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(292).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(201).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0364.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image (40).jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1013.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(78).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0761.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0145.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0080.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1201.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1102.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(169).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1264.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0182.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0809.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0082.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/image(70).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0082.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(180).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0082.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0259.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(123).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0095.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0305.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (374).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0305.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0306.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0305.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/p (375).jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0029.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/image(22).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0029.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0209.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Te-me_0029.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m1(132).jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/2896.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/2898.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1569.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/1568.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/gg (778).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/glioma/Tr-gl_0111.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1474.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_1492.jpg,2
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/401.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/400.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Te-pi_0096.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/pituitary/Tr-pi_0845.jpg,4
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/m (168).jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/meningioma/Tr-me_0058.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0322.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Te-no_0058.jpg,0
/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/Tr-no_0322.jpg,/kaggle/input/datasets/sabersakin/brainmri/Datasest Merged 1/Datasest Merged 1/notumor/image(359).jpg,0
